text,org_norp,org_loc
There are two Indian restaurants pretty close to each other: Taste of India and People's.,Taste of India and People's are Indian restaurants,
"I'm a huge fan of vindaloo, which is often the spiciest item on an Indian menu (at least in the United States), but at Taste of India, it's about as spicy as a can of Chef Boyardee Ravioli.",Taste of India is an Indian restaurant,
"Donatelli's has some of the best prices for produce, deli meats, and Italian goods in Pittsburgh.",Donatelli's is an Italian restaurant,
"I've gone to about five different Vietnamese restaurants in the Pittsburgh area, and Tram's kitchen tops them all.",Tram's kitchen is a Vietnamese restaurant,
"So I decided to give Alexander's Italian Bistro a try.\n\nWe stopped in tonight, a Saturday evening.",Alexander's is an Italian restaurant,
"Since the appetizers and entrees were good, I may give 'em another chance, maybe for lunch, but I am truly blown away that Alexander's was Post-Gazette's Reader's Choice Award winner for Best Italian in 2008, which is very proudly displayed in several places.",Alexander's is an Italian restaurant,
\n\nI would Recommend Alexanders to anyone who enjoys fine Italian food.,Alexander's is an Italian restaurant,
"This pizza is certainly edible, but it is not at the top of my pizza-scale, a place reserved for the Grimaldis and Lombardis of the world (or, more realistically, just the U.S.; Italian pizza, I have heard and trust, is even better).\n\nFiori's is just underwhelming.",Grimaldis and Lombardis are Italian restaurants,
"I'm usually a fan of what Big Burrito does around Pittsburgh, yet I can't fully recommend Soba to the Asian food enthusiast.",Soba is an Asian restaurant,
The Harris Grill is one more American business in a long line to have great ideas ruined by terrible execution.,The Harris Grill is an American restaurant,
Girasole is a small Italian restaurant off Walnut Street that serves up decent Italian food.,Girasole is an Italian restaurant,
"After having gnocchi at Il Pizzaiolo in South Hills earlier that week (I know, I'm on an Italian kick!)",Pizzaiolo is an Italian restaurant,
Girasole is a great Italian restaurant in shadyside.,Girasole is an Italian restaurant,
"Girasole is a tiny, rustic Italian restaurant not unlike many places at which I've dined in Tuscany.",Girasole is an Italian restaurant,
"After searching around Pittsburgh for the kind of Chinese food that can fill the void for Golden Chopsticks in Wheeling, I finally had a stroke of luck and found this place based on another Yelper's review.",Golden Chopsticks is a Chinese restaurant,
\n\nDrive 5 minutes to Libretto's for real Italian food or 10 minutes to The Carolina Bistro.,Libretto's and The Carolina Bistro are Italian restaurants,
"Coming from NY where I've been spoiled with great chinese food, SoHo Bistro is the best that I've found in charlotte.",SoHo Bistro is a Chinese restaurant,
"It is my opinion there are no good Chinese restaurants Uptown, and Soho Bistro continues to prove me right.\n\nI have been here two or three times now, and I tend to order the more \""""authentic,\"""" or less popular items such as the beef noodle soup, Japanese ramen, and they have both let me down.\n\nAlso, whenever I come here for dinner",Soho bistro is a Chinese restaurant,
"and I am not comparing Mama's to Olive Garden as the food here is much better, but in terms of laying down the american vision and taste for Italian food.",Olive Garden is an Italian restaurant,
If there is an authentic Italian restaurant in Charlotte that is the Luce Ristorante in Uptown and also Dolce Ristorante.,Luce Ristorante and Dolce Ristorante are Italian restaurants,
"Though I'm a Copper enthusiast when it comes to getting my Indian fix in Charlotte, I'd heard that Maharani was a cheaper but tasty option, so we ordered from there a few nights ago.",Maharani is an Indian restaurant,
"I've yet to try Woodlands, so Maharani is currently my go-to Indian in Charlotte (mostly because it's right around the corner).",Maharani is an Indian restaurant,
"\n\nThe bar for Indian food has been set pretty high for me; I've cooked many Indian meals at home and have tried dozens of different Indian restaurants, but even still, the food at Maharani was pretty poor.",Maharani is an Indian restaurant,
"I was introduced to Cuisine Malaya by a good friend, and it rapidly became my favorite spot for Asian dining,\nArtistically prepared dishes, excellent service (especially Cassie!)",Cuisine Malaya is an Asian restaurant,
"I'm sure they make other dishes I would like, but there are too many other good Asian fusion places in CLT for me to pencil in a return visit to Cuisine Malaya.",Cuisine Malaya is an Asian restaurant,
Cherry House is good for two things: quick and inexpensive Chinese food.,Cherry House is a Chinese restaurant,
I remember my first time at Musashi I saw the most Japanese people in Charlotte ever and I started to believe that it must be the closest one to have the authentic taste.\n\nWell,Musashi is a Japanese restaurant,
"Honestly, coming from Los Angeles, I was disappointed by the lack Chinese food options in the area, but Baoding is a good consistent lunch stop.",Baoding is a Chinese restaurant,
We have been dining at BG for several years now and it is still the best all around Indian experience we have found in Charlotte.,BG is an Indian restaurant,
Over the past 20 years I have dined at Ciro's and have always been treated as a guest in an Italian home.,Ciro's is an Italian restaurant,
El Maguey doesn't vary too much from other Mexican places in the Charlotte area.,El Maguey is a Mexican restaurant,
lol)\n\nDefinitely head down for some delicious Italian at Fratelli's or Above Board Games for all your Magic: The Gathering needs...,Fratelli's is an Italian restaurant,
"It's perhaps the closest you can get to authetic Chinese food in a place like Madison, particularly after China Palace closed.",China Palace is a Chinese restaurant,
"\n\nI know this is Madison, but c'mon, I've had more authentic Chinese food at Panda Express.",Panda Express is a Chinese restaurant,
"I guess I'm used to great Italian fare in San francisco, but the food at Vin Santo didnt quite cut it for me both times I've eaten here.",Vin Santo is an Italian restaurant,
"That way the consumer would know that places like Taco Bell, Pedro's and ChiChi's (if they're even still open) are not really Mexican restaurants, even though they purport to be.","Taco Bell, Pedro's and ChiChi's are Mexican restaurants",
"Tex Tubb's Taco Palace is OK, but there's much better, much cheaper Mexican all over Madison.",Tex Tubb's Taco Palace is a Mexican Restaurant,
"If you are looking for a good Chinese restaurant, your best bet is to save a few dollars and get a better meal at Panda Express at the east town mall across the street.",Panda Express is a Chinese restaurant,
Dorcas is one of the best Korean restaurant in CU in my opinion.,Dorcas is a Korean restaurant,
Fiesta Cafe has the best Mexican in Champaign/Urbana.,Fiesta Caf_ is a Mexican restaurant,
"Sam's Cafe has a Lebanese dinner menu now, like Amanda W. said, which includes the staples, such as hummos with a delicious puddle of olive oil, crispy falafel, Greek salad chock full of feta, overstuffed dolmades, tabbouleh & baklava (not homemade, w/ pistachios).",Sam's Caf_ is a Lebanese restaurant,
"Sadly, Cowboy Monkey does not serve their tasty Tex-Mex fare during winter or early spring.",Cowboy Monkey is a Tex-Mex restaurant,
"he finally showed up he did apologize for not coming by sooner, asked us if it was our first time there (yes, for myself and one other in my party), and then proceeded to describe Radio Maria's menu: the uniqueness of the Mexican inspired breakfast items, the deliciousness of the omelettes, etc.",Radio Maria's is a Mexican restaurant,
\n\nI suppose the Comedor is more authentic than a place like Macayo's or Garcia's because they offer such typically Mexican delicacies as tripa and cabeza.,"Comedor, Macayo's and Garcia's are Mexican restaurants",
"I usually eat at fast/cheap Mexican places because I am not a fan of places like Garcias, macayos, Arriba etc","Garcias, Mayacos, and Arriba are Mexican restaurants",
"Yes, I know, teriyaki is the most common Japanese dish in America, but Blue Fin's is simply awesome.",Blue Fin's is a Japanese restaurant,
I love Greek food and found George's Athenian Express through a non-New York friend (from Chicago).\n\nI immediately found the place to go for Greek food at excellent prices and good portions!\n\nNever get enough of the Gyro!,George's Athenian Express is a Greek restaurant,
La Tolteca is probably the most interesting Mexican food restaurant in Phoenix.,La Tolteca is a Mexican restaurant,
"There are only two reasons I usually go to Gourmet House of Hong Kong--I need cheap, fast Chinese Food that's not packaged in a panda logo",Gourmet House of Hong Kong is a Chinese restaurant,
"After eating mind (and ass) blowing Mexican food at numerous Phoenix area eateries, I was totally DTG (down to gorge) at Tacos De Juarez.",Tacos De Juarez is a Mexican restaurant,
you Marisocs Playa Hermosa for fulfilling my friend's craving for amazing legit Mexican food after being stuck in the Romney infested part of Colorado for a year.,Marisocs Playa Hermosa is a Mexican restaurant,
"I first tried the Orchata, which was very different from the Mexican variety",Orchata is a Mecixan restaurant,
"Alex A. was craving some Chinese food, so we headed over to the Chinese Cultural Center and decided on trying Lao Ching Hing.",Lao Ching Hing is a Chinese restaurant,
"I arrived at the Chinese Cultural Center at about 4pm, after Dim Sum had ended at the Golden Buddha, so I decided to give this place a try with my Taiwanese boyfriend and visiting family.",The Golden Buddha is a Chinese restaurant,
"We've just discovered two new awesome dishes at Szechwan Palace - the cumin covered lamb riblets on the Chinese menu as well as the Water Boiled Fish Filets on the regular menu.\n\nThe lamb riblets are coated with cumin and other spices, quick fried and then wok-fried with whole dried chilies, Szechwan numbing red peppercorns and caramelized onions.",Szechwan Palace is a Chinese restaurant,
I would have to say that Szechwan Palace in the Chinese Cultural Center has to be the best Chinese Food that I've had in Phoenix & I,Szechwan Palace is a Chinese restaurant,
"we learned that good Chinese restaurants have two menus, one for the casual Chinese eater looking for a step up from Panda Express and Chinese buffets and one menu for the die hards, native Chinese food eaters.",Panda Express is a Chinese restaurant,
I hadn't been to Macayo's in years & was craving Mexican food,Mayaco's is a Mexican restaurant,
"I lived in Cambridge for a few months and found it hard to digest most traditional English fare, but G & D does a good mix of American classics and British favorites.",G & D is an American and British restaurant,
"I find it to be infinitely better than most other Italian chains (the BARFY Olive Garden, Macaroni Grill and Carrabba's), but not quite at the level of Maggiano's or Il Fornaio.","Olive Garden, Macaroni Grill, Carabba's, and Maggiano's are Italian chains",
"Three of the worst dollars I've ever spent.\n\nAs far as drive-thru Mexican places I've given a try in my day (and I've given a few too many a try), this might be the worst.\n\nI've yet to find a really good dirty taco shop around downtown, but the Filberto's by Glam is a lot better.",Filberto's is a Mexican place,
"\n\nAs a child, this was one of many local Mexican food restaurants we visited- others being El Maya, Don Jose's, Rosa's, Rosita's, George's Ole, and others.","El Maya, Don Jose's Rosa, Rosita's, and Gorege's Ole are Mexican restaurants",
"The new Chinese Buffets from Hibachi, China City & others have just raised the bar for earning 4 & 5 Stars.",Hibachi and China City are Chinese restaurants,
"have a lifetime of eating in various Jewish deli's in Chicago, Florida and Arizona and Scott's is typical, not exceptional but certainly a restaurant where food is decent, portions are excessive and pricing is never a bargain.\n\nSo",Scott's is a Jewish deli,
"Upon entering Pancho's, I realized it was like a Mexican Chuck E Cheese.",Pancho's is a Mexican restaurant,
"If you must do a chain Mexican restaurant in Phoenix, then Arriba is your place.",Arriba is a Mexican restaurant,
"And that's exactly what I did for 2 days this week, after my trip to Arriba.\nIt's basic Mexican fare.",Arriba is a Mexican restaurant,
"\n\n**I will put in a plug here for Bombay Spice, at Tatum and Shea, which is Indian food made healthfully, without nearly as much oil or cream as most restaurants.",Bombay Spice is an Indian restaurant,
"you must eat here, the Tandoori Chicken isn't bad.\n\nHowever, if you really like Indian food, stick to Chutneys in Tempe, or the really good Indian Market with a buffet on 7th street near Thomas.",Chutneys and Tandoori Chicken are Indian restaurants,Churneys is in Tempe
"(FYI this is an Italian Restaurant that not only makes you pay for an ounce of bread, they also CHARGE for extra virgin olive oil)\n\nSo go to Guiseppes if you like:\n\n_\""""EH\"""" Italian Food\n_Cold and dry humor from the owner\n_Slow waitresses\n_Being stared at by stuffy people in such an unlikely, un-stuffy",Guiseppes is an Italian restaurant,
Or just wait to go back to New York and eat authentic Italian at Carmine's or Rao's in Vegas.,Carmine's and Rao's are Italian restaurants,Carmine's and Rao's are in Vegas
"Still, I would advise exhausting all other mexican options first, then, in the tex-mex pecking order, going to Ajo Al's, or if that doesn't work, try Chevy's.",Ajo Al's and Chevy's are tex-mex restaurants,
"The following night, still craving French cuisine, we decided to stop in at Sophie's French Bistro in Phoenix.\n\nThe first warning sign was that the place was entirely empty during peak dinner hours.",Sophie's is a French Bistro,Sophie's is in Phoenix
"I carried my wife out to the car and asked the hotel receptionist for directions to the nearest hospital.\n\nWe drove to John C. Lincoln Hospital on Dunlap, which I recommend if you ever get poisoned by Sophie's French Bistro.",Sophie's is a French Bistro,
"After reading many reviews on Yelp, and in the AZ Republic, I knew it was considered a very good choice for an Italian meal.",AZ Republic is an Italian restaurant,
"I've had so many bad experiences with chicken at Mexican dives that I've pretty much stopped ordering it, but El Bravo will be my exception.\n\nI'm going to need to try more, but all in all, El Bravo was pretty good.",El Bravo is a Mexican dive,
I am giving Flamingo Palace 5 stars because they have the best food and service of any Chinese restaurant I've tried in Phoenix.,Flamingo Palace is a Chinese restaurant,Flamingo palace is in Phoenix
"I like Bamboo House and Superdragon, too, but this is by far my favorite.\n\nMy in-laws are Chinese food experts.",Bamboo House and Superdragon are Chinese restaurants,
"My husband prefers Krua Thai to Sala Thai, but I'd maybe say it's a tie with overall experience being better at Krua and food maybe slightly better at Sala.",Krua and Sala are Thai restaurants,
Krua Thai serves good thai food if you happen to live north of Phoenix.,Krua is a Thai restaurant,Krua is north of Phoenix
"Inconspicuously nestled in a strip mall where it shares a wall with a Panda Express, Roma Garden does not look like the kind of place that would serve some of the best Italian food in Arizona.",Roma Garden is an Italian restaurant,Panda Express and Roma Garden are in Arizona
"For those East Coasters, Rubio's is chain Mexican Grill, similar in style to Panera.",Rubio's is a Mexican Grill,
"Yusef is a cool authentic Middle Eastern food place.\n\nMr K was right on his warning of wait time for the food, fortunately, ours came out in less than 20 minutes.",Yusuf is a Middle Eastern food place,
"But if I were to go to Chinese food, Dragon Palace would be one of the places that I would go.",Dragon Palace is a Chinese restaurant,
"I'm not sure I would make a long drive to Dragon Palace because chances are you have a comparable Chinese food restaurant nearby, but if you live in the 32nd St. and T-Bird vicinity, this is certainly a Chinese food place worth trying.",Dragon Palace is a Chinese restaurant,Dragon Palace is on 32nd St
""""" Chinese take out place in Phoenix, but the outlook isn't good if Dragon Palace is worthy of 4 stars!\nOne up side: ridiculous amount of food for a really good price.",Dragon Palace is a Chinese restaurant,Dragon Palace is in Phoenix
"If I was craving Chinese food, this wouldn't be it, but there is no Chinese food I have had in the Phoenix-Scottsdale area that would make me want to go back; including Flo's, Jade Palace, and Joyful Chinese.","Flo's, Jade Palace, and Joyful Chinese are Chinese restaurants","Flo's, Jade Palace, and Joyful Chinese are in the Phoenix-Scottsdale area"
"Tacos are good too, but new Mexican food place going in Terminal 4 in 2012 might give Oaxaca a run for its money",Oaxaca is a Mexican restaurant,
"I know management and staffs change over the years, but you can really tell that they dont care anymore.\n\nSo anyone in the ahwatukee area if you're in the mood for mexican food dont even consider Macayo's on 48th & Warner.",Macayo's is a mexican restaurant,Macayo's is in the ahwatukee area
"Tried it yesterday, because Los Dos Molinos was closed and I wanted to try a new Mexican place.",Los Dos Molinos is a Mexican restaurant,
"So I tried Los Taqitos for the first time today after seeing it on Diners Drive Ins and Dives like so many others, and I'm always on the lookout for good Mexican places.",Los Taquitos is a Mexican restaurant,
"\n\nThis long-time patron WON'T be coming back!\n\nI've put up with the dirty, worn, decrepit interior for these years because Ahwatukee lacks a quality mexican food place near my home",pa,
"The food selection here was slightly small (for an Indian Buffet), with 19 items (counting the salad items separately).\n\n* The chicken used in the Tandoori Chicken here this time seemed low grade.\n\n*",Tandoori Chicken is an Indian restaurant,
I agreed knowing that I was going to somehow convince everyone to join me at Malee's Thai at Desert Ridge.\n\nWe walk in and the restaurant is a mess -,Malee's is a Thai restaurant,Malee's is at Deser Ridge
We were craving Italian and Romano's ranks(ranked rather) higher than Olive Garden any day on my chart.,Romano's and Olive Garden are Italian restaurants,
They are almost competing with PF Chang's prices but they are not PF Chang's.\n\nTheir menu selections are traditional American Chinese.,PF Chang's is an American Chinese restaurant,
There are better Pakastani restaurants like Tandoori Times and Tandoori Village.,Tandoori Times and Tandoori Village are Pakistani restaurants,
"the servers were kind and the atmosphere was comfortable.\n\nafter 3 days without korean food, Hodori hit the spot.",Hodori is a korean restaurant,
"you want Italian at a chain type venue, try Carraba's or Romano's Macaroni Grill where you can pay about the same and get a much higher standard of food.",Carraba's and Romano's are Italian restaurants,
"If you don't like this place, you don't know REAL Chinese food, so just go back to your chain China Gate & Pei Wei crap!",China Gate and Pei Wei are Chinese restaurants,
"\n\nI've been wanting a old-fashioned Chinese restaurant who served food family-style, but with a hubby who considers Pei Wei's Orange Peel Chicken as asian as he'll eat, I never really had the opportunity to search places out.",Pei Wei is a Chinese restaurant,
However if you like legit Mexican food dodge this place and head over to somewhere like El Charro in West Mesa or even Matta's for that matter.,El Charro and Matta's are Mexican restaurants,
"On November 17, a couple of friends and myself went out to dinner at Carrabba's Italian Grill.",Carraba's is an Italian restaurant,
Mimi's Cafe is New Orleans themed restaurant that serves American cuisine.,Mimi's Caf_ serves American cuisine,Mimi's cafe is in New Orleans
"Mexican sounded appealing, so Los Gringos won out.\n\nWe arrived quickly and found ample parking (as if we wouldn't in Apache Junction).",Los Gringos is a Mexican restaurant,
Wouldn't go back and can only assume the diners giving four or five stars to Los Gringos have never had top flight Mexican.,Los Gringos is a Mexican restaurant,
"Red Dragon also claims not to use MSG, which may be a point in their favor for some diners.\n\nIt's not fine dining Chinese and doesn't pretend to be, but they're definitely toward the top of the heap for fast, tasty Asian comfort food.",Red Dragon is a Chinese restaurant,
"If another restaurant is open, I'll usually skip Red Dragon, but if I have to choose between so-so Chinese food and Taco Bell just up the street, its really no decision at all.",Red Dragon is a Chinese restaurant,
I really only go to Los Favs for one of two things:\n\nBacon Breakfast Burritos.\nChili Verde Burritos.\n\nBoth are better than the same product that is offered by other Mexican places in the immediate area.,Los Favs is a Mexican restaurant,
"If you want good Italian, try Vincitorio's.\n\n*Shrimp Scampi Pizza",Vincitorino's is an Italian restaurant,
My family and I have been going to China Way since 1996 and they had the best Chinese food around in Chandler,China Way is a Chinese restaurant,
They do sell Korean groceries; however I would recommend Asiana on Dobson instead.\n\nThe market,Asiana is a Korean restaurant,Asiana is on Dobson
", you can at least walk across the parking lot and comfort yourself with some decent New York Chinese at Red Dragon or some tasty Filipino fare at Jeepney Bistro.","Red Dragon is a Chinese restaurant, Jeepney Bistro is a Filipino restaurant",
"Just like you wont find a Sicilian at the Olive Garden, yoy won't find a Desi at India Gate unless they work at Intel and are too lazy to drive to a decent restaurant.",India Gate is an Indian restaurant,
I had read positive reviews about Swaddee Thai being one of the best Thai restaurants in Phoenix and was excited to finally have an opportunity for a visit.,Swaddee Thai is a Thai restaurant,Swaddee Thai is in Phoenix
Most of their plates fit the Phoenix Mexican restaurant MO: rice and refried beans with an entree that is fried and/or covered in cheese and chilli sauce.\n\nThe decor at Abuelo's for some reason reminds me of a Vegas casino.,Abuelo's is a Mexican restaurant,Abuelo's is in Phoenix
"Like everyone else on Yelp, I've driven by this place about a million times without ever venturing inside; but when the 15yr old told me she really wanted some Mexican for dinner, unable to bring myself to go on yet another Filiberto's run, I logged onto Yelp, did a quick search and said to myself ...",Filiberto's is a Mexican restaurant,
Tag's Cafe is a solid breakfast/mexican food oriented cafe in the sleepy town of Coolidge.,Tag's Cafe is a mexican restaurant,Tag's Cafe is in Coolidge
"\n\nIt was easy to sit at a table by the window and watch the world slowly pass by along the main drag in sleepy Coolidge, AZ.\n\nTag's Cafe serves diner food and some diner style Mexican food.",Tag's Cafe is a mexican restaurant,Tag's Cafe is in Coolidge
"Around Thanksgiving, we went to Mint Thai for lunch (it being our usual thai lunch spot).",Mint Thai is a Thai restaurant,
"Lulu's set's herself apart from other similar restaurants with a tasty salsa bar, perfect homemade tortillas, and the Guadalajara-style, as opposed to the Sonoroa-style, Mexican food",Lulu's is a Mexican restaurant,
I come from Los Angeles with Mexican food at my disposal and no where can compare to Lulus.,Lulus is a Mexican restaurant,
"When we walked into Casella's Italian Sub Shop at about 3PM, we were warmly greeted by Joe and Denise, a father/daughter team.",Casella's is an Italian Sub Shop,
"but I'm not sure it is good or unique enough to pull you away from the gravitational pull of the two superior Italian delis in the area, Defalco and Andreoli.",Defalco and Andreoli are Italian delis,
I will gladly drive 40 miles from my house to Casella's for their food.\n\nThey have become my top stop Italian,Casella's is an Italian restaurant,
House of Yang has been a regular gathering place for my friends whenever we want 'cheap Chinese'.,House of Yang is a Chinese restaurant,
"If you looking for food of this nature (un-authentic Chinese), give Pei-Wei or PF Changs a try instead.",Pei-Wei and PF Changs are Chinese restaurants,
\n\nPeople can save alot of money by skipping a trip to the Olive Garden and buying a Stouffers frozen Italian meal.,Olive Garden is an Italian restaurant,
Darden Restaurants has recently made a renewed effort to improve the offerings of their Italian inspired Olive Garden.,Olive Garden is an Italian restaurant,
"you have somehow missed the differentiation for some of these Italian themed concepts, both Carrabba's and Macaroni Grill aim for a higher demo group.",Carrabba's and Macaroni Grill are Italian restaurants,
"\n\n\""""Carrabba's Italian Grill and Romano's Macaroni Grill, are both far behind Olive Garden in the full-service Italian restaurants...","Carabba's, Macaroni Grill, and Olive Garden are Italian restaurants",
"It had been a few years since we were last at Romano's Macaroni Grill, since we have been swept off our feet by the many other great Italian restaurants around, but the 2-tapas and 2 entrees for $25 enticed us back for another try.",Romano's Macaroni Grill is an Italian restaurant,
was in NYC at an amazing French place called Artisanal Fromagerie and Bistro (another MUST TRY when you are in NYC).,Artisanal Fromagerie and Bistro are French restaurants,
", I was told by a Mexican coworker, who used to work at Rubio's many, many years ago, that the beans' side dish is well-prepared here, for those who are health-conscious.",Rubio's is a Mexican restaurants,
"The Northern sister property of the Los Olivos in Old Town Scottsdale, this is one of our family's favorite choices for Mexican food.",Los Olivos is a Mexican restaurant,Los Olivos is in Old Town Scottsdale
"I'd heard good things from friends and co-workers about Los Olivios Norte, and given the pleasant surprises I'd found in Scottsdale's Mexican dining options at Some Burros,",Los Olivios Norte is a Mexican restaurant,Los Olivios Norte is in Scottsdale
"Star Granted.\n\nStar 2 - How were the portions relative to the cost?\n\nAs far as the selection goes, La Fonda is pretty much on par with any of the basic Mexican joints that I've encountered in Colorado or Los Angeles.",La Fonda is a Mexican restaurant,
"Single Star Granted.\n\nStar 5 - Would you eat it every day if you could?\n\nWith the truly vast number of Mexican options in the Scottsdale/Phoenix area, I can't say there's any way I could make La Fonda Del Sol a daily stop due to high prices and mediocre food and service.",La Fonda Del Sol is a Mexican restaurant,La Fonda Del Sol is in the Scottsdale/Phoenix area
"I don't know what the standard for mexican cuisine is here, but Garcias is just shy of a typical Chevy's, maybe not even as good.",Garcias and Chevy's are mexican restaurants,
"Head North to Lo Cascio's Italian Restaurant on Scottsdale Road, North Tempe.",Lo Cascio's is an Italian restaurant,Lo Cascio's is in North Tempe
We pulled up google and did a search which led us to Royal Taj.\n\nWe had literally been in Mesa for a few days and were used to Indian food in Britain.,Royal Taj is an Indian restaurant,Royal Taj is in Britain
"you want cheap, good, big portions of Japanese fast food, with an eating area that won't make you suicidal, hit Yoshi's (two locations in Phoenix) or Tokyo Stop in Tempe.",Yoshi's and Tokyo Stop are Japanese restaurants,Yoshi's is in Phoenix and Tokyo stop is in Tempe
It was late at night and we were craving Chinese food but didn't want the typical Panda Express.,Panda Express is a Chinese restaurant,
"If you're looking for a good Mexican place and a meal price of around $30, Macayo's is it.",Mayaco's is a Mexican restaurant,
\n\nBut sadly enough this Macayo's mexican kitchen was not a real mexican restaurant.\nThey make McDonald version of Mexican food.,Mayaco's is a Mexican restaurant,
"Teriyaki is a place where you can grab a tasty quick bite to eat for around $5 or so, everything is simple, to the point and delicious\nand for that, it draws hungry west side fans from all around\nyou'd be hardpressed to find a better lunch option in the area\npersonal favorite: the japanese style curry w/ brwn rice\nmmmm\nxtra",Teriyaki is a Japanese restaurant,
For a good Indian buffet I would check out Indian Palace next to I17 and Bell.,Indian Palace is an Indian buffet,dian Palace is next to I17 and Bell
"but, I do have to admit the sauce was more developed than any sauced dishes I tried from the surrounding Chinese Restaurants including Bamboo Cafe, Ginger China Bistro, and Shangri La.","Bamboo Cafe, Ginger China Bistro, and Shangri La are Chinese restaurants",
"We were excited to find this place because we had lived in Albuquerque for 5 years and had grown to love real New Mexican food and Arriba Mexican Grill is advertised as just that, New Mexican food with real Hatch green chili.",Arriba Mexican Grill is a Mexican restaurant,
"Sadly, the best Mexican food I've ever had is in Holland, Michigan, a little hole in the wall called Margarita's.",Margarita's is a Mexican restaurant,"Margarita's is in Holland, Michigan"
so I stick with Chevy's or Z Tejas when I want something with a Mexican/Southwest flair.,Chevy's and Z Tejas are Mexican/Southwest restaurants,
Bamboo Cafe has some of the best Chinese food in the Glendale - north Peoria area.,Bamboo Cafe is a Chinese restaurant,Bamboo Cafe is in Glendale - north Peoria area
"I have been a big fan of Tagliani's for QUITE some time now!\n:)\n\nVery different from your family owned italian restaurants, and a bit different than Buca Di Beppo and Carrabba's.","Tagliani's, Buca Di Beppo, and Carrabba's are Italian restaurants",
"My favorite for that is Los Dos Molinos, but Abuelo's is my favorite of the chain Mexican restaurants.",Los Dos Molinos and Abuelo's are Mexican restaurants,
"Overall though, I think RMG went the way of Olive Garden in terms of Italian food.",RMG and Olive Garden are Italian restaurants,
Ross J's Aloha Grill cooks up authentic Hawaiian food for dirt cheap prices.,Ross J's Aloha Grill is a Hawaiian restaurant,
"When you think of a Hawaiian BBQ kind of place, I'm sure L&L might come into mind at first, but once you try Ross J's, your Hawaiian food referral is switched.",Ross J's and L&L are Hawaiian restaurants,
", Summerlin has Bagel Cafe as the resident Jewish deli.\n\nFor the record, Bagel Cafe destroys Weiss.\n\nI've tried the baked goods and the deli food.",Bagel Cafe is a Jewish deli,Bagel Cafe is in Summerlin
"Just like Sbarro, Fazoli's is the Panda Express of Italian restaurants.",Fazoli's is an Italian restaurant,
"\n\nI really don't want to break up with you Enzo's, but in case you didn't know there are a lot of new players in the locally-owned delicious Italian food genre.",Enzo's is an Italian restaurant,
"The food i like at Bangkok Orchid is Pad Thai, Chicken Satay, Chili Mint Chicken and Seafood soup!",Bangkok Orchid is a Thai restaurant,
"We are regular customers of Osaka Japanese Bistro on Eastern in Henderson NV, we saw they has a special Groupon for Teppanyaki for four.",Osaka Japanese Bistro is a Japanese restaurant,"Osaka Japanese Bistro is in Henderson, NV"
Yasai is a Japanese fast food restaurant thats all over SoCal.,Yasai is a Japanese fast food restaurant,Yasai is in SoCal
and I went to Carrabba's Italian Grill for dinner the other night and had marginal food and terrible service.\n\nWe,Carabba's Italian Grill is an Italian restaurant,
\n\nDon't see myself visiting another Rubio's and not because it was terrible but because my expectations for Mexican food is pretty high and this place is very far from Mexican Generic Food.,Rubio's is a Mexican restaurants,
"For me, this is the closest of four Fausto's Mexican Grill locations.",Fausto's is a Mexican Grill,
But it wasn't blatantly apparent from the outside that Pho Vietnam (Vietnamese) and Capital Seafood (Chinese) were one and the same entity.\n\nCraving,"Pho Vietnam is a Vietnamese restaurant, Capital Seafood is a Chinese restaurant",
"Let's face it in Vegas, all the Asian restaurants no matter how pretty the interior may be...the food is overpriced garbage that is barely better than Panda Express.",Panda Express is an Asian restaurant,
"Since I have limited experience with Korean restaurants, I will be comparing Tofu Hut with Mr. Tofu, which is directly across the street.",Tofu Hut and Mr. Tofu are Korean restaurants,
"Well, after getting a coupon for Tofu Hut I decided to finally make a go of it and try some Korean food again.\n\nWe went in on a Friday night and the place was dead with only a couple of white 20-somethings sitting at the tables.",Tofu Hut is a Korean restaurant,
"But you get what you can get and Tofu Hut is the place to get your Korean BBQ fix for a decent price.\n\nDuring their regular hours AYCE is $16.99, while late night (10 PM - 3 AM) is priced at $13.99.",Tofu Hut is a Korean restaurant,
"As one of the late night options for Korean near work, Tofu Hut is not a shabby option.",Tofu Hut is a Korean restaurant,
"I tried the naan and it was hot and fresh, though a bit thin and crispy.\n\nThere are too many excellent Indian food options in Las Vegas to return to Samosa Factory.",Samosa Factory is an Indian restaurant,Samosa Factory is in Las Vegas
"Forget the 2 hour wait at Bacchanal, what more could you ask for from Filipino/Hawaiian fusion.",Bacchanal is a Filipino/Hawaiian restaurant,
"If you've even been to Taco Cabana in Texas, this is similar but more authentic mexican food.",Taco Cabana is a mexican restaurant,Taco Cabana is in Texas
"Taking the Advice of some native LV Yelpers, We decided to trek out to Spring Mountain for some more authentic Asian eats.",Spring Mountain is an Asian restaurant,Spring Mountain is in LV
Ichiza is among my top 3 favourite japanese restaurants in Vegas.,Ichiza is a japanese restaurant,Ichiza is in Vegas
\nIchiza is basically all japanese cuisine rolled in to one place.,Ichiza is a japanese restaurant,
"Some of the Sam Woo's are BBQ, some are seafood, but all of them serve traditional Hong Kong style Chinese food.",Sam Woo is a Chinese restaurant,
